tytuł,link,zdjęcie
"""SW"": Kaczyński traci kontrolę nad partią. Tajne rozmowy Morawieckiego z koalicjantami Tuska",https://wiadomosci.onet.pl/tylko-w-onecie/kulisy-burzliwej-narady-w-pis-kaczynski-nie-moze-tego-puscic-plazem/5nh2f4k#pco,https://img.onet.pl/1/uu1k9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy82MzMzNmU5NDFlYWQzYzJmYzUzMTU5OWE2NDkzMWI3ZS5qcGeTlQMAJc0H0M0EaJMFzQTYzQI0lQfZMi9wdWxzY21zL01EQV8vMjc0YzFkNjQ2NzA4MmMzZTZkZmU5ZDA5ZjRhNmRmNmIucG5nAMIA3gACoTAHoTEE
"Szykują się zmiany w leczeniu cholesterolu. ""Trzeba o tym głośno mówić""","https://www.medonet.pl/choroby-od-a-do-z/choroby-ukladu-krazenia,jak-leczyc-wysoki-cholesterol--w-polsce-beda-zmiany--lekarz--wprowadzamy-jako-pierwsi-na-swiecie,artykul,71111905.html",https://img.onet.pl/1/enlk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy9mZDQxZmM0NjkxYjMzMjRlNjI0NDgwMDcyNDdmNzEwYy5qcGeRkwXNAljNAVDeAAKhMAehMQQ
"Zapytali, czy prezydent wesprze WOŚP. Taką dostali odpowiedź",https://wiadomosci.onet.pl/kraj/zapytali-czy-prezydent-karol-nawrocki-wesprze-wosp-taka-dostali-odpowiedz/9vk33e3,https://img.onet.pl/1/eCxk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy81YjUyMTY3NjRmODU4NGQ3OWM5ZTg1MWRkNTgzMWI2ZC5wbmeRkwXNAljNAVDeAAKhMAehMQQ
"Szokujące zachowanie turystów w Tatrach. ""Nazywajmy wreszcie rzeczy po imieniu""","https://www.onet.pl/turystyka/onetpodroze/szokujace-zachowanie-turystow-w-tatrach-tego-sie-juz-nie-wyleczy-wideo/rh466k4,07640b54",https://img.onet.pl/1/Xrvk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy80YjRjOWMyMWIwZmYzYTJlNjkwMTZlYzdhNmZlNjMyZi5qcGeSlQMARM0H0M0EaJMFzQJYzQFQ3gACoTAHoTEE
"Pokazali pięć minut prologu i już są zachwyty. ""Film stulecia""","https://www.onet.pl/film/onetfilm/christopher-nolan-zachwyca-prologiem-nowego-filmu-film-stulecia/8lqrtnx,681c1dfa",https://img.onet.pl/1/kuVk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy8yYWI1YmNmMWJkMmQ3ODM1ODQ1ZDU1MDEyNWQ3MzUxOC5qcGeRkwXNAljNAVDeAAKhMAehMQQ
Sikorski zareagował na burzę wokół MiG-ów. Zwrócił się do Andrzeja Dudy,https://wiadomosci.onet.pl/kraj/sikorski-zareagowal-na-burze-wokol-mig-29-zwrocil-sie-do-dudy/kgremp5,https://img.onet.pl/1/8lfk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy9lZDZmZTFmMWY3MDFkN2M1ZTA2OTAyZGIwY2NlM2RhNi5qcGeSlQMAAM0fRs0RpJMFzL523gACoTAHoTEE
"Dziesięć pierogów od górali. ""Popłynęli z cenami na święta""",https://www.fakt.pl/pieniadze/dziesiec-pierogow-od-gorali-poplyneli-z-cenami-na-swieta/yvlg0v0,https://img.onet.pl/1/yUjk9lGaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy9kNDE4MTRjZC0xYWRlLTRlZDgtYWZiOC1mMDA1M2FjYTA0MjkuanBlZ5GTBcy-dt4AAqEwB6ExBA
"Zignorowały ostrzeżenia, konstrukcja nie wytrzymała. Nagranie z Gdańska","https://www.onet.pl/turystyka/onetpodroze/robily-sobie-zdjecia-nagle-zalamala-sie-konstrukcja-na-pomoc-ruszyli-przechodnie/364djet,07640b54",https://img.onet.pl/1/LWhk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy83MTc5ODU3YjRiZmI1NjUxYmM0NDMyZjBlNGU5ZjYwYS5qcGeSlQMAAM0Er80CpJMFzL523gACoTAHoTEE
Czas zatrzymał się tu w 1990 r. Oto co znalazłem w opuszczonym domu,"https://www.onet.pl/turystyka/szaryburekpl/opuszczony-dom-jak-muzeum-prl-u-niezwykle-odkrycie-podczas-spaceru-po-wsi/n9tfg29,30bc1058",https://img.onet.pl/1/gfSk9lGaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy83MmYyMjlkNy1jMDE0LTRkOTgtYWZiOC1jMjU0NmQ4YmE5ZjMuanBlZ5KVAx8AzQQ7zQJjkwXMvnbeAAKhMAehMQQ
"Ross napisał do byłej żony SMS przed śmiercią. ""Straszne obciążenie""","https://www.onet.pl/styl-zycia/plejada/tadeusz-ross-zenil-sie-piec-razy-malgorzata-potocka-byla-mu-szczegolnie-bliska/5p9gx9w,0898b825",https://img.onet.pl/1/arak9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy9iMDRkYjdhMjlmYWM1Y2I4OWQ1ZTA3ZGZhNjUzNDAyOS5wbmeRkwXMvnbeAAKhMAehMQQ
