tytuł,link,zdjęcie
"""SW"": Kaczyński traci kontrolę nad partią. Tajne rozmowy Morawieckiego z koalicjantami Tuska",https://wiadomosci.onet.pl/tylko-w-onecie/kulisy-burzliwej-narady-w-pis-kaczynski-nie-moze-tego-puscic-plazem/5nh2f4k#pco,https://img.onet.pl/1/uu1k9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy82MzMzNmU5NDFlYWQzYzJmYzUzMTU5OWE2NDkzMWI3ZS5qcGeTlQMAJc0H0M0EaJMFzQTYzQI0lQfZMi9wdWxzY21zL01EQV8vMjc0YzFkNjQ2NzA4MmMzZTZkZmU5ZDA5ZjRhNmRmNmIucG5nAMIA3gACoTAHoTEE
"Szykują się zmiany w leczeniu cholesterolu. ""Trzeba o tym głośno mówić""","https://www.medonet.pl/choroby-od-a-do-z/choroby-ukladu-krazenia,jak-leczyc-wysoki-cholesterol--w-polsce-beda-zmiany--lekarz--wprowadzamy-jako-pierwsi-na-swiecie,artykul,71111905.html",https://img.onet.pl/1/enlk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy9mZDQxZmM0NjkxYjMzMjRlNjI0NDgwMDcyNDdmNzEwYy5qcGeRkwXNAljNAVDeAAKhMAehMQQ
Po co jest Państwowa Inspekcja Pracy? Oddajemy głos pracownikom,"https://www.onet.pl/informacje/okopress/po-co-jest-panstwowa-inspekcja-pracy-oddajemy-glos-pracownikom/8nyft8h,30bc1058",https://img.onet.pl/1/3dwk9lGaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy8yZjZhOTY1My1hYjMwLTRmZmMtODM1OC1mNGNhOGQxODVjYzcuanBlZ5KVAwBlzQOmzQIPkwXNAljNAVDeAAKhMAehMQQ
"Zapytali, czy prezydent wesprze WOŚP. Taką dostali odpowiedź",https://wiadomosci.onet.pl/kraj/zapytali-czy-prezydent-karol-nawrocki-wesprze-wosp-taka-dostali-odpowiedz/9vk33e3,https://img.onet.pl/1/eCxk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy81YjUyMTY3NjRmODU4NGQ3OWM5ZTg1MWRkNTgzMWI2ZC5wbmeRkwXNAljNAVDeAAKhMAehMQQ
"Pokazali pięć minut prologu i już są zachwyty. ""Film stulecia""","https://www.onet.pl/film/onetfilm/christopher-nolan-zachwyca-prologiem-nowego-filmu-film-stulecia/8lqrtnx,681c1dfa",https://img.onet.pl/1/kuVk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy8yYWI1YmNmMWJkMmQ3ODM1ODQ1ZDU1MDEyNWQ3MzUxOC5qcGeRkwXNAljNAVDeAAKhMAehMQQ
"Szokujące zachowanie turystów w Tatrach. ""Nazywajmy wreszcie rzeczy po imieniu""","https://www.onet.pl/turystyka/onetpodroze/szokujace-zachowanie-turystow-w-tatrach-tego-sie-juz-nie-wyleczy-wideo/rh466k4,07640b54",https://img.onet.pl/1/KKck9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy80YjRjOWMyMWIwZmYzYTJlNjkwMTZlYzdhNmZlNjMyZi5qcGeSlQMARM0H0M0EaJMFzL523gACoTAHoTEE
Ten kraj może zwabić wiele gwiazd. Polak: będę namawiał,https://przegladsportowy.onet.pl/siatkowka/ten-kraj-moze-zwabic-wiele-gwiazd-polak-mowi-wprost-bede-namawial/blnkrge,https://img.onet.pl/1/8Abk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy9kODA3NDE0MGE1ZDM4ZDI4YTcyNTNhY2JmMDM3ZjZiZS5qcGeSlQPNBHTM6c0FZ80DC5MFzL523gACoTAHoTEE
To nie będą normalne dni w pogodzie. Do Europy nadciąga potężny wyż [MAPY],https://wiadomosci.onet.pl/pogoda/to-nie-beda-normalne-dni-w-pogodzie-poczatek-jeszcze-w-tym-tygodniu-mapy/jnbz0s3,https://img.onet.pl/1/NS-k9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy8zNmI3YTQ4MWFkNGZkYmI1M2JiYzYwZmE1YzNkYWQ0YS5qcGeSlQMDzMPNBwbNA_aTBcy-dt4AAqEwB6ExBA
Japończyk przeżył szok po przyjeździe do Polski. Mówi wprost o alkoholu,https://przegladsportowy.onet.pl/pilka-nozna/1-liga/japonczyk-przezyl-szok-po-przyjezdzie-do-polski-mowi-wprost-o-alkoholu/8tspm0b,https://img.onet.pl/1/LTjk9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy8zNzc2M2U5MjU1NmY2MTUxOTc5NGJhNmFmZGQ4MWY0MS5qcGeSlQPNBoXNAWfNBt3NA9-TBcy-dt4AAqEwB6ExBA
"Ross napisał do byłej żony SMS przed śmiercią. ""Straszne obciążenie""","https://www.onet.pl/styl-zycia/plejada/tadeusz-ross-zenil-sie-piec-razy-malgorzata-potocka-byla-mu-szczegolnie-bliska/5p9gx9w,0898b825",https://img.onet.pl/1/arak9lBaHR0cHM6Ly9vY2RuLmV1L3B1bHNjbXMvTURBXy9iMDRkYjdhMjlmYWM1Y2I4OWQ1ZTA3ZGZhNjUzNDAyOS5wbmeRkwXMvnbeAAKhMAehMQQ
